Date,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
2012-05,334163.0,12.65,87.97,12.84,17.37,87.78,17.56,21.25
2012-06,336495.0,13.03,84.35,14.34,17.77,84.35,19.07,23.05
2012-07,337024.81,15.83,82.51,17.98,20.6,82.57,22.74,25.34
2012-08,331282.41,22.0,83.78,21.57,26.75,84.01,26.35,25.98
2012-09,331942.41,24.97,87.01,24.24,29.77,87.39,29.03,25.48
2012-10,329162.69,28.22,87.47,27.13,33.04,87.8,31.93,26.71
2012-11,334026.69,26.73,84.6,26.94,31.54,84.96,31.75,27.13
2012-12,336879.19,24.69,81.32,25.57,29.54,81.55,30.41,27.94
2013-01,333237.19,23.81,81.56,22.7,28.69,81.37,27.58,28.7
2013-02,337714.91,21.55,83.92,22.04,26.44,83.57,26.93,28.67
2013-03,88863.8,21.98,84.41,20.56,26.78,84.16,25.48,27.89
2013-04,334704.41,18.24,88.5,17.88,23.19,88.22,22.83,26.24
2013-05,335043.81,14.71,87.29,16.05,19.7,87.01,21.03,25.07
2013-06,335316.91,17.24,81.99,16.62,22.22,81.89,21.62,24.81
2013-07,331324.59,20.72,83.01,19.22,25.76,83.09,24.25,24.83
2013-08,332255.0,21.28,83.97,21.8,26.35,84.21,26.84,24.1
2013-09,330502.09,24.58,86.94,24.64,29.63,87.11,29.69,24.72
2013-10,332307.09,27.9,85.47,26.33,32.95,85.84,31.4,26.41
2013-11,334475.81,25.88,83.02,25.08,30.95,83.35,30.16,27.03
2013-12,335779.0,21.23,83.43,22.49,26.34,83.75,27.58,26.81
2014-01,337416.91,22.25,81.07,22.33,27.36,81.12,27.43,28.28
2014-02,338113.59,24.61,83.87,23.5,29.73,83.75,28.62,30.22
2014-03,335904.81,22.85,87.09,22.77,28.0,86.95,27.92,30.11
2014-04,334425.31,19.01,84.18,19.65,24.2,84.08,24.83,27.97
2014-05,334449.31,16.34,85.26,17.98,21.54,85.24,23.18,27.15
2014-06,332034.91,18.58,80.93,20.16,23.81,81.13,25.39,29.0
2014-07,333016.19,24.93,80.02,24.31,30.17,80.14,29.55,30.97
2014-08,330758.31,29.21,83.24,28.08,34.49,83.76,33.34,31.47
2014-09,328248.59,30.57,87.45,29.98,35.86,88.04,35.26,30.69
2014-10,330350.59,33.92,87.53,30.88,39.2,88.09,36.18,30.96
2014-11,333215.59,28.6,88.56,29.1,33.9,89.07,34.41,30.66
2014-12,336062.81,33.35,84.4,28.43,38.69,84.69,33.77,32.4
2015-01,336854.31,27.07,85.42,28.02,32.39,85.66,33.36,33.87
2015-02,338376.5,29.39,87.66,29.92,34.74,87.73,35.28,36.73
2015-03,335135.59,28.94,88.54,30.3,34.3,88.6,35.69,37.69
2015-04,336179.09,29.89,90.77,29.58,35.32,90.78,35.0,37.85
2015-05,335113.91,27.02,89.37,28.55,32.49,89.43,34.0,37.82
2015-06,335841.31,31.15,91.24,30.98,36.6,91.22,36.44,40.32
2015-07,333000.19,34.99,91.49,35.38,40.49,91.86,40.87,43.04
2015-08,332274.91,39.06,96.73,39.24,44.62,97.4,44.78,43.81
2015-09,330305.91,44.9,102.42,43.21,50.44,103.01,48.76,44.76
2015-10,330283.91,45.31,105.73,45.02,50.85,106.3,50.57,45.3
2015-11,331748.31,44.24,106.84,44.11,49.8,107.34,49.66,45.36
2015-12,334989.5,41.5,104.33,40.67,47.06,104.88,46.24,44.23
2016-01,334690.41,34.63,99.75,38.42,40.19,100.02,43.99,44.09
2016-02,334459.09,36.9,98.31,39.11,42.46,98.51,44.7,45.97
2016-03,333800.41,39.24,96.2,38.9,44.89,96.36,44.53,46.37
2016-04,335285.81,37.36,96.32,37.09,43.01,96.17,42.75,45.33
2016-05,331491.69,32.76,93.57,33.54,38.44,93.48,39.22,42.81
2016-06,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
2016-07,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
2016-08,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
2016-09,328624.91,39.43,88.16,37.97,45.21,88.7,43.75,40.52
2016-10,332695.31,38.4,88.32,39.66,44.19,88.83,45.45,40.31
2016-11,330627.09,41.62,86.87,40.88,47.43,87.37,46.68,41.89
2016-12,336391.59,44.82,84.89,40.95,50.64,85.11,46.76,44.02
2017-01,334827.59,33.94,81.16,34.55,39.77,81.15,40.38,41.39
2017-02,335132.41,34.62,82.1,34.12,40.48,82.05,39.98,41.66
2017-03,334131.81,35.83,87.94,34.9,41.7,87.69,40.79,43.1
2017-04,332204.5,34.36,85.64,33.88,40.3,85.58,39.8,43.1
2017-05,336082.81,30.03,82.17,32.87,35.98,82.17,38.81,42.83
2017-06,334922.41,34.27,82.66,34.23,40.2,83.08,40.19,43.57
2017-07,333067.69,36.75,81.64,37.58,42.74,82.02,43.57,44.51
2017-08,331393.41,41.11,85.58,41.87,47.14,86.26,47.89,45.51
2017-09,333942.19,45.5,86.53,44.07,51.54,87.08,50.1,45.28
